Sample in Buffer,Sample in Window,TRIGGER,data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
592,592,0,3412
593,593,0,3412
594,594,0,3412
595,595,0,3412
596,596,0,3412
597,597,0,3412
598,598,0,3412
599,599,0,3412
600,600,0,3412
601,601,0,3412
602,602,0,3412
603,603,0,3412
604,604,0,3412
605,605,0,3412
606,606,0,3412
607,607,0,3412
608,608,0,3412
609,609,0,3412
610,610,0,3412
611,611,0,3412
612,612,0,3412
613,613,0,3412
614,614,0,3412
615,615,0,3412
616,616,0,3412
617,617,0,3412
618,618,0,3412
619,619,0,3412
620,620,0,3412
621,621,0,3412
622,622,0,3412
623,623,0,3412
624,624,0,3412
625,625,0,3412
626,626,0,3412
627,627,0,3412
628,628,0,3412
629,629,0,3412
630,630,0,3412
631,631,0,3412
632,632,0,3412
633,633,0,3412
634,634,0,3412
635,635,0,3412
636,636,0,3412
637,637,0,3412
638,638,0,3412
639,639,0,3412
640,640,0,3412
641,641,0,3412
642,642,0,3412
643,643,0,3412
644,644,0,3412
645,645,0,3412
646,646,0,3412
647,647,0,3412
648,648,0,3412
649,649,0,3412
650,650,0,3412
651,651,0,3412
652,652,0,3412
653,653,0,3412
654,654,0,3412
655,655,0,3412
656,656,0,3412
657,657,0,3412
658,658,0,3412
659,659,0,3412
660,660,0,3412
661,661,0,3412
662,662,0,3412
663,663,0,3412
664,664,0,3412
665,665,0,3412
666,666,0,3412
667,667,0,3412
668,668,0,3412
669,669,0,3412
670,670,0,3412
671,671,0,3412
672,672,0,3412
673,673,0,3412
674,674,0,3412
675,675,0,3412
676,676,0,3412
677,677,0,3412
678,678,0,3412
679,679,0,3412
680,680,0,3412
681,681,0,3412
682,682,0,3412
683,683,0,3412
684,684,0,3412
685,685,0,3412
686,686,0,3412
687,687,0,3412
688,688,0,3412
689,689,0,3412
690,690,0,3412
691,691,0,3412
692,692,0,3412
693,693,0,3412
694,694,0,3412
695,695,0,3412
696,696,0,3412
697,697,0,3412
698,698,0,3412
699,699,0,3412
700,700,0,3412
701,701,0,3412
702,702,0,3412
703,703,0,3412
704,704,0,3412
705,705,0,3412
706,706,0,3412
707,707,0,3412
708,708,0,3412
709,709,0,3412
710,710,0,3412
711,711,0,3412
712,712,0,3412
713,713,0,3412
714,714,0,3412
715,715,0,3412
716,716,0,3412
717,717,0,3412
718,718,0,3412
719,719,0,3412
720,720,0,3412
721,721,0,3412
722,722,0,3412
723,723,0,3412
724,724,0,3412
725,725,0,3412
726,726,0,3412
727,727,0,340f
728,728,0,340f
729,729,0,340f
730,730,0,340f
731,731,0,340f
732,732,0,340f
733,733,0,340f
734,734,0,340f
735,735,0,340f
736,736,0,340f
737,737,0,340f
738,738,0,340f
739,739,0,340f
740,740,0,340f
741,741,0,340f
742,742,0,340f
743,743,0,340f
744,744,0,340f
745,745,0,340f
746,746,0,340f
747,747,0,340f
748,748,0,340f
749,749,0,340f
750,750,0,340f
751,751,0,340f
752,752,0,340f
753,753,0,340f
754,754,0,340f
755,755,0,340f
756,756,0,340f
757,757,0,340f
758,758,0,340f
759,759,0,340f
760,760,0,340f
761,761,0,340f
762,762,0,340f
763,763,0,340f
764,764,0,340f
765,765,0,340f
766,766,0,340f
767,767,0,340f
768,768,0,340f
769,769,0,340f
770,770,0,340f
771,771,0,340f
772,772,0,340f
773,773,0,340f
774,774,0,340f
775,775,0,340f
776,776,0,340f
777,777,0,340f
778,778,0,340f
779,779,0,340f
780,780,0,340f
781,781,0,340f
782,782,0,340f
783,783,0,340f
784,784,0,340f
785,785,0,340f
786,786,0,340f
787,787,0,340f
788,788,0,340f
789,789,0,340f
790,790,0,340f
791,791,0,340f
792,792,0,340f
793,793,0,340f
794,794,0,340f
795,795,0,340f
796,796,0,340f
797,797,0,340f
798,798,0,340f
799,799,0,340f
800,800,0,340f
801,801,0,340f
802,802,0,340f
803,803,0,340f
804,804,0,340f
805,805,0,340f
806,806,0,340f
807,807,0,340f
808,808,0,340f
809,809,0,340f
810,810,0,340f
811,811,0,340f
812,812,0,340f
813,813,0,340f
814,814,0,340f
815,815,0,340f
816,816,0,340f
817,817,0,340f
818,818,0,340f
819,819,0,340f
820,820,0,340f
821,821,0,340f
822,822,0,340f
823,823,0,340f
824,824,0,340f
825,825,0,340f
826,826,0,340f
827,827,0,340f
828,828,0,340f
829,829,0,340f
830,830,0,340f
831,831,0,340f
832,832,0,340f
833,833,0,340f
834,834,0,340f
835,835,0,340f
836,836,0,340f
837,837,0,340f
838,838,0,340f
839,839,0,340f
840,840,0,340f
841,841,0,340f
842,842,0,340f
843,843,0,340f
844,844,0,340f
845,845,0,340f
846,846,0,340f
847,847,0,340f
848,848,0,340f
849,849,0,340f
850,850,0,340f
851,851,0,340f
852,852,0,340f
853,853,0,340f
854,854,0,340f
855,855,0,340f
856,856,0,340f
857,857,0,340f
858,858,0,340f
859,859,0,340f
860,860,0,340f
861,861,0,340f
862,862,0,340f
863,863,0,340f
864,864,0,340f
865,865,0,340f
866,866,0,340f
867,867,0,340f
868,868,0,340f
869,869,0,340f
870,870,0,340f
871,871,0,340f
872,872,0,340f
873,873,0,340f
874,874,0,340f
875,875,0,340f
876,876,0,340f
877,877,0,340f
878,878,0,340f
879,879,0,340f
880,880,0,340f
881,881,0,340f
882,882,0,340f
883,883,0,340f
884,884,0,340f
885,885,0,340f
886,886,0,340f
887,887,0,340f
888,888,0,340f
889,889,0,340f
890,890,0,340f
891,891,0,340f
892,892,0,340f
893,893,0,340f
894,894,0,340f
895,895,0,340f
896,896,0,340f
897,897,0,340f
898,898,0,340f
899,899,0,340f
900,900,0,340f
901,901,0,340f
902,902,0,340f
903,903,0,340f
904,904,0,340f
905,905,0,340f
906,906,0,340f
907,907,0,340f
908,908,0,340f
909,909,0,340f
910,910,0,340f
911,911,0,340f
912,912,0,340f
913,913,0,340f
914,914,0,340f
915,915,0,340f
916,916,0,340f
917,917,0,340f
918,918,0,340f
919,919,0,340f
920,920,0,340f
921,921,0,340f
922,922,0,340f
923,923,0,340f
924,924,0,340f
925,925,0,340f
926,926,0,340f
927,927,0,340f
928,928,0,340f
929,929,0,340f
930,930,0,340f
931,931,0,340f
932,932,0,340f
933,933,0,340f
934,934,0,340f
935,935,0,340f
936,936,0,340f
937,937,0,340f
938,938,0,340f
939,939,0,340f
940,940,0,340f
941,941,0,340f
942,942,0,340f
943,943,0,340f
944,944,0,340f
945,945,0,340f
946,946,0,340f
947,947,0,340f
948,948,0,340f
949,949,0,340f
950,950,0,340f
951,951,0,340f
952,952,0,340f
953,953,0,340f
954,954,0,340f
955,955,0,340f
956,956,0,340f
957,957,0,340f
958,958,0,340f
959,959,0,340f
960,960,0,340f
961,961,0,340f
962,962,0,340f
963,963,0,340f
964,964,0,340f
965,965,0,340f
966,966,0,340f
967,967,0,340f
968,968,0,340f
969,969,0,340f
970,970,0,340f
971,971,0,340f
972,972,0,340f
973,973,0,340f
974,974,0,340f
975,975,0,340f
976,976,0,340f
977,977,0,340f
978,978,0,340f
979,979,0,340f
980,980,0,340f
981,981,0,340f
982,982,0,340f
983,983,0,340f
984,984,0,340f
985,985,0,340f
986,986,0,340f
987,987,0,340f
988,988,0,340f
989,989,0,340f
990,990,0,340f
991,991,0,340f
992,992,0,340f
993,993,0,340f
994,994,0,340f
995,995,0,340f
996,996,0,340f
997,997,0,340f
998,998,0,340f
999,999,0,340f
1000,1000,0,340f
1001,1001,0,340f
1002,1002,0,340f
1003,1003,0,340f
1004,1004,0,340f
1005,1005,0,340f
1006,1006,0,340f
1007,1007,0,340f
1008,1008,0,340f
1009,1009,0,340f
1010,1010,0,340f
1011,1011,0,340f
1012,1012,0,340f
1013,1013,0,340f
1014,1014,0,340f
1015,1015,0,340f
1016,1016,0,340f
1017,1017,0,340f
1018,1018,0,340f
1019,1019,0,340f
1020,1020,0,340f
1021,1021,0,340f
1022,1022,0,340f
1023,1023,0,340f
